Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
0.00001,4.51435,763.622,16.57,747.05
0.00001,4.51436,814.983,16.57,798.41
0.00001,4.51437,631.216,16.57,614.64
8.96712,7.07848,213.398,23.23,190.17
0.00001,4.51374,330.524,16.57,313.95
0.00001,4.51371,250.35,16.57,233.78
0.00001,4.5137,252.615,16.57,236.04
0.00001,4.51368,266.057,16.57,249.49
0.00001,4.51359,250.807,16.57,234.24
0.00001,4.51357,336.324,16.57,319.75
0.00001,4.51359,258.046,16.57,241.47
0.00001,4.51358,464.577,16.57,448.01
0.00001,4.51358,397.51,16.57,380.94
0.00001,4.51365,247.655,16.57,231.08
0.00001,4.51364,243.362,16.57,226.79
0.00001,4.51363,239.054,16.57,222.48
9.25024,6.85161,241.132,24.42,216.71
9.24953,6.8387,239.793,24.46,215.33
9.24875,6.82426,253.393,24.5,228.89
9.18316,6.79126,405.983,24.24,381.75
9.16004,6.7802,266.137,24.12,242.01
9.13242,6.77626,401.35,23.96,377.39
9.10547,6.7795,411.123,23.78,387.34
9.23439,7.01173,261.245,23.86,237.38
9.227,7.0251,266.709,23.8,242.91
9.22215,7.03389,267.923,23.76,244.16
9.21119,7.04357,310.162,23.7,286.46
9.2046,7.05949,255.767,23.64,232.13
9.19868,7.06659,252.496,23.61,228.89
9.18869,7.08078,281.143,23.55,257.59
9.18118,7.09234,261.777,23.51,238.27
9.17004,7.10145,458.258,23.47,434.79
9.15339,7.12722,221.75,23.41,198.34
9.14401,7.13251,227.7,23.38,204.32
9.13657,7.15514,324.678,23.36,301.32
9.13156,7.16317,316.144,23.34,292.8
9.11024,7.18384,497.196,23.3,473.89
9.14735,7.07684,301.765,23.44,278.33
9.16142,7.08511,306.056,23.46,282.59
9.19636,7.09105,384.17,23.56,360.61
9.21781,7.10849,579.96,23.6,556.36
8.96714,7.08297,219.34,23.23,196.11
9.12481,7.2377,510.151,23.3,486.85
9.1372,7.24266,511.7,23.32,488.38
9.15206,7.2594,575.86,23.34,552.52
9.16933,7.27344,537.772,23.36,514.42
9.18553,7.28017,676.535,23.37,653.16
9.22568,7.30161,710.822,23.41,687.41
9.23815,7.31004,549.164,23.42,525.74
9.2544,7.31974,623.554,23.44,600.11
9.2714,7.3394,558.895,23.45,535.45
9.29411,7.35527,560.054,23.47,536.58
9.33377,7.36301,674.787,23.52,651.27
9.34899,7.3844,627.057,23.52,603.53
9.36009,7.39924,737.196,23.53,713.67
9.37217,7.4081,716.275,23.54,692.74
9.38681,7.41878,690.736,23.54,667.19
9.32925,7.32848,542.965,23.54,519.42
9.34915,7.40546,658.375,23.51,634.86
9.3541,7.43827,711.209,23.5,687.71
9.3527,7.45278,713.401,23.49,689.91
9.35107,7.47059,682.19,23.49,658.7
9.33982,7.4812,676.238,23.47,652.77
9.33771,7.5053,692.251,23.46,668.79
9.37062,7.52988,717.645,23.47,694.17
9.38601,7.56313,785.966,23.46,762.51
9.39974,7.55328,773.884,23.47,750.41
9.42177,7.5523,744.724,23.48,721.24
9.43816,7.53886,773.606,23.49,750.11
9.40932,7.56746,757.544,23.47,734.08
9.38697,7.57667,783.54,23.45,760.09
9.40044,7.58922,756.15,23.44,732.71
9.40082,7.60298,752.32,23.42,728.9
9.40272,7.61443,729.92,23.41,706.51
9.39498,7.63408,678.77,23.38,655.39
9.39754,7.64812,646.17,23.36,622.81
9.38621,7.651,658.779,23.35,635.43
9.37396,7.67342,681.713,23.3,658.42
9.35982,7.68538,676.73,23.25,653.48
9.32639,7.69769,780.354,23.17,757.18
9.34352,7.7066,738.797,23.18,715.61
9.32559,7.72896,444.85,23.1,421.75
9.06283,6.78215,208.746,23.52,185.23
9.04065,6.78421,205.975,23.39,182.59
9.02899,6.78175,207.987,23.32,184.66
9.00297,6.78695,205.015,23.18,181.83
8.9826,6.77964,201.944,23.09,178.85
8.9544,6.79019,217.227,22.98,194.24
8.92946,6.7839,268.328,22.9,245.43
8.89165,6.78517,162.289,22.81,139.48
8.86738,6.78572,139.802,22.78,117.03
8.84612,6.77784,130.057,22.75,107.31
8.8138,6.7819,123.644,22.74,100.9
8.79079,6.78383,155.175,22.76,132.42
8.76908,6.78298,144.569,22.78,121.79
8.74743,6.78017,150.87,22.8,128.07
8.73839,6.77911,147.069,22.81,124.26
8.71974,6.78339,140.776,22.85,117.93
8.70406,6.78203,156.292,22.88,133.42
8.68639,6.77739,158.282,22.9,135.38
8.63677,6.78923,205.897,23.03,182.86
9.29122,7.66292,650.966,23.18,627.78
9.27918,7.65241,625.572,23.19,602.38
9.25718,7.64199,665.178,23.17,642
9.2455,7.64142,667.923,23.15,644.77
